"","sale","price","ghz","ram","hd","ssd","BIN"
"1","SOLD",404.99,2.7,8,NA,"SSD",FALSE
"2","SOLD",355,2.5,8,128,"SSD",FALSE
"3","SOLD",449.99,2.6,4,128,"No",TRUE
"4","NOT SOLD",499.99,2.5,4,320,"No",TRUE
"5","NOT SOLD",199.99,NA,NA,NA,"No",TRUE
"6","NOT SOLD",699.95,2.5,4,128,"SSD",TRUE
"7","NOT SOLD",437.71,2.5,4,128,"SSD",TRUE
"8","SOLD",449,2.5,4,128,"SSD",TRUE
"9","SOLD",128,2.7,NA,NA,"No",FALSE
"10","SOLD",512.96,2.7,8,160,"No",TRUE
"11","SOLD",152.5,2.5,2,160,"No",FALSE
"12","SOLD",306,2.5,4,160,"No",FALSE
"13","SOLD",439,2.6,6,240,"SSD",TRUE
"14","SOLD",480,2.5,8,128,"SSD",TRUE
"15","NOT SOLD",460,2.5,8,500,"No",TRUE
"16","SOLD",600,2.6,4,NA,"No",TRUE
"17","SOLD",203.52,NA,NA,NA,"No",FALSE
"18","SOLD",510,2.7,8,160,"SSD",FALSE
"19","SOLD",109.19,2.5,NA,NA,"No",TRUE
"20","SOLD",369.99,2.5,4,180,"No",TRUE
"21","SOLD",280,NA,8,500,"No",FALSE
"22","NOT SOLD",460,2.5,8,500,"No",TRUE
"23","NOT SOLD",565,2.5,8,240,"SSD",TRUE
"24","NOT SOLD",199.99,NA,NA,NA,"No",TRUE
"25","NOT SOLD",129,NA,NA,NA,"No",TRUE
"26","SOLD",370,2.5,4,130,"SSD",TRUE
"27","NOT SOLD",200,2.5,4,130,"No",FALSE
"28","SOLD",374,NA,8,80,"SSD",TRUE
"29","NOT SOLD",299.95,2.5,6,NA,"No",FALSE
"30","NOT SOLD",500,2.7,8,160,"SSD",FALSE
"31","SOLD",399.99,2.6,8,128,"SSD",TRUE
"32","NOT SOLD",379.95,2.5,6,NA,"No",TRUE
"33","NOT SOLD",199.99,NA,NA,NA,"No",TRUE
"34","NOT SOLD",300,2.5,4,300,"No",FALSE
"35","NOT SOLD",300,2.5,4,300,"No",FALSE
"36","NOT SOLD",437.71,2.5,4,128,"SSD",TRUE
"37","NOT SOLD",373,2.5,8,128,"SSD",FALSE
"38","SOLD",467.46,2.5,8,128,"SSD",TRUE
"39","NOT SOLD",499.99,2.7,8,NA,"SSD",FALSE
"40","SOLD",365,NA,12,120,"SSD",FALSE
"41","NOT SOLD",191.21,2.5,NA,NA,"No",TRUE
"42","SOLD",266,2.5,4,320,"No",FALSE
"43","NOT SOLD",373,2.5,8,128,"SSD",FALSE
"44","NOT SOLD",350,NA,6,NA,"No",FALSE
"45","NOT SOLD",345,2.6,6,NA,"No",TRUE
"46","NOT SOLD",345,2.6,6,NA,"No",TRUE
"47","NOT SOLD",400,NA,NA,NA,"No",TRUE
"48","SOLD",300,2.5,4,320,"No",FALSE
"49","NOT SOLD",350,NA,6,NA,"No",FALSE
"50","NOT SOLD",475,NA,NA,NA,"No",TRUE
"51","SOLD",407.99,2.6,6,160,"SSD",FALSE
"52","SOLD",325,2.5,4,320,"No",FALSE
"53","NOT SOLD",564.95,2.5,8,128,"SSD",TRUE
"54","NOT SOLD",560,2.7,8,160,"SSD",FALSE
"55","SOLD",460,2.5,8,128,"SSD",TRUE
"56","SOLD",213.5,2.5,8,320,"No",FALSE
"57","NOT SOLD",199.99,NA,NA,NA,"No",TRUE
"58","SOLD",124.95,2.5,NA,NA,"No",TRUE
"59","SOLD",331,2.5,4,300,"No",FALSE
"60","SOLD",427.49,NA,4,NA,"No",TRUE
"61","NOT SOLD",500,NA,NA,NA,"No",TRUE
"62","SOLD",300,2.6,4,128,"No",TRUE
"63","SOLD",349,2.6,8,500,"No",TRUE
"64","NOT SOLD",617,2.5,NA,NA,"No",TRUE
"65","NOT SOLD",636.9,2.6,NA,NA,"No",TRUE
"66","SOLD",375,2.6,8,128,"SSD",TRUE
"67","SOLD",375,2.6,NA,NA,"No",TRUE
"68","SOLD",349.99,2.5,2,120,"SSD",TRUE
"69","NOT SOLD",357.5,2.5,4,128,"No",TRUE
"70","NOT SOLD",357.5,2.5,8,128,"No",TRUE
"71","SOLD",357.5,2.5,6,128,"No",TRUE
"72","SOLD",355,NA,8,500,"No",FALSE
"73","NOT SOLD",1,2.5,4,320,"No",TRUE
"74","NOT SOLD",4,2.5,4,320,"No",TRUE
"75","NOT SOLD",565,2.7,8,160,"SSD",FALSE
"76","NOT SOLD",425,NA,8,80,"SSD",TRUE
"77","NOT SOLD",157.21,2.5,NA,NA,"No",TRUE
"78","NOT SOLD",425,2.6,NA,NA,"No",TRUE
"79","SOLD",224.5,2.5,4,500,"No",FALSE
"80","NOT SOLD",199.99,NA,NA,NA,"No",TRUE
"81","NOT SOLD",400,2.6,NA,NA,"No",TRUE
"82","NOT SOLD",350,NA,6,NA,"No",FALSE
"83","SOLD",599.95,NA,4,128,"SSD",TRUE
"84","NOT SOLD",1,2.8,8,160,"No",TRUE
"85","NOT SOLD",539.96,2.7,8,160,"No",TRUE
"86","NOT SOLD",392.83,2.5,4,128,"No",TRUE
"87","NOT SOLD",1,2.8,8,160,"No",TRUE
"88","NOT SOLD",436.48,2.5,4,128,"No",TRUE
"89","NOT SOLD",599.95,2.7,8,160,"No",TRUE
"90","NOT SOLD",600,2.5,4,320,"No",TRUE
"91","SOLD",399.99,2.5,4,500,"No",TRUE
"92","NOT SOLD",410,2.6,8,128,"SSD",TRUE
"93","NOT SOLD",450,2.6,NA,NA,"No",TRUE
"94","SOLD",300,2.5,4,300,"No",FALSE
"95","NOT SOLD",400,2.6,NA,NA,"No",TRUE
"96","SOLD",350,2.5,NA,NA,"No",TRUE
"97","NOT SOLD",325,2.5,4,300,"No",FALSE
"98","SOLD",424.96,2.5,4,128,"SSD",TRUE
"99","SOLD",699.99,2.8,8,256,"SSD",TRUE
"100","NOT SOLD",579,2.7,8,160,"SSD",FALSE
"101","NOT SOLD",325,2.5,4,300,"No",FALSE
"102","SOLD",649.95,NA,8,128,"SSD",TRUE
"103","NOT SOLD",199.99,NA,NA,NA,"No",TRUE
"104","SOLD",385,NA,8,256,"SSD",FALSE
"105","NOT SOLD",400,2.6,NA,NA,"No",TRUE
"106","NOT SOLD",500,2.5,4,320,"No",TRUE
"107","NOT SOLD",299,2.5,4,320,"No",TRUE
"108","NOT SOLD",275,2.5,4,320,"No",FALSE
"109","SOLD",425,2.5,4,128,"SSD",TRUE
"110","SOLD",321.98,2.5,8,128,"SSD",FALSE
"111","SOLD",280,2.6,6,160,"SSD",FALSE
"112","SOLD",425,2.7,8,160,"SSD",FALSE
"113","SOLD",238.88,NA,NA,NA,"No",TRUE
"114","SOLD",355,2.5,4,300,"No",FALSE
"115","SOLD",159.88,2.5,NA,NA,"No",TRUE
"116","SOLD",152.5,NA,NA,NA,"No",FALSE
"117","SOLD",650,NA,8,320,"No",FALSE
"118","SOLD",315,NA,4,320,"No",FALSE
"119","SOLD",473,NA,8,256,"SSD",FALSE
"120","SOLD",345,2.5,8,300,"No",FALSE
"121","SOLD",382.46,2.5,4,128,"SSD",TRUE
"122","SOLD",410,NA,8,320,"No",TRUE
"123","SOLD",193.5,NA,NA,NA,"No",FALSE
"124","SOLD",103.83,NA,8,NA,"No",TRUE
"125","SOLD",361,2.7,8,160,"SSD",FALSE
"126","SOLD",243.5,2.5,8,NA,"No",FALSE
"127","SOLD",335,NA,3,320,"No",FALSE
"128","SOLD",480,2.5,8,128,"SSD",TRUE
"129","SOLD",315,2.5,4,320,"No",FALSE
"130","SOLD",415,2.5,4,NA,"No",TRUE
"131","SOLD",429.99,2.6,4,128,"SSD",TRUE
"132","SOLD",283.98,2.6,NA,NA,"No",FALSE
"133","SOLD",202,2.6,NA,NA,"No",FALSE
"134","SOLD",401.99,2.5,4,NA,"No",FALSE
"135","SOLD",325,NA,4,NA,"No",FALSE
"136","SOLD",667.4,2.7,8,512,"SSD",FALSE
"137","SOLD",340,NA,4,NA,"No",FALSE
"138","SOLD",300,2.6,4,320,"No",TRUE
"139","SOLD",459.99,2.6,4,160,"SSD",TRUE
"140","SOLD",310,2.5,4,NA,"No",FALSE
"141","SOLD",299.99,2.5,8,320,"No",FALSE
"142","SOLD",520,NA,8,120,"SSD",FALSE
"143","SOLD",459.95,2.5,4,128,"SSD",TRUE
"144","SOLD",416,NA,8,250,"SSD",FALSE
"145","SOLD",325,2.5,4,119,"No",TRUE
"146","SOLD",355,2.5,4,300,"No",FALSE
"147","SOLD",479.99,2.5,4,128,"SSD",TRUE
"148","SOLD",475,2.6,8,128,"SSD",TRUE
"149","SOLD",350,2.6,4,128,"No",TRUE
"150","SOLD",399.99,3.2,4,320,"No",TRUE
"151","SOLD",399,2.5,4,320,"No",TRUE
"152","SOLD",424.99,2.5,4,320,"No",TRUE
"153","SOLD",275,2.6,6,NA,"No",FALSE
"154","SOLD",193.5,2.6,6,NA,"No",FALSE
"155","SOLD",255,2.6,6,NA,"No",FALSE
"156","SOLD",336,2.6,8,128,"No",FALSE
"157","SOLD",400,2.7,NA,NA,"No",FALSE
"158","SOLD",368,2.6,4,128,"SSD",TRUE
"159","SOLD",475,2.7,8,160,"SSD",FALSE
"160","SOLD",290,2.5,4,NA,"No",TRUE
"161","SOLD",433,2.7,8,160,"No",FALSE
"162","SOLD",157,2.6,NA,NA,"No",FALSE
"163","SOLD",270,NA,NA,NA,"No",FALSE
"164","SOLD",354.82,NA,16,320,"No",TRUE
"165","SOLD",355.01,2.6,4,128,"SSD",FALSE
"166","SOLD",237,2.6,4,120,"SSD",FALSE
"167","SOLD",200,2.6,NA,NA,"No",TRUE
"168","SOLD",480,NA,8,128,"SSD",TRUE
"169","SOLD",325,2.6,4,120,"SSD",FALSE
"170","SOLD",325,2.5,4,300,"No",FALSE
"171","SOLD",300,2.5,4,320,"No",TRUE
"172","SOLD",549.92,2.7,8,128,"SSD",TRUE
"173","SOLD",215.57,2.6,4,NA,"No",FALSE
"174","SOLD",350,NA,4,NA,"No",FALSE
"175","SOLD",320,2.6,4,128,"SSD",FALSE
"176","SOLD",330,2.5,8,128,"SSD",FALSE
"177","SOLD",330,2.6,4,128,"SSD",FALSE
"178","SOLD",650,2.7,NA,NA,"No",TRUE
"179","SOLD",380,2.6,8,128,"SSD",FALSE
"180","SOLD",279.95,2.5,3,NA,"No",FALSE
"181","SOLD",499.99,3.2,8,240,"SSD",TRUE
"182","SOLD",273,2.6,4,128,"SSD",FALSE
"183","SOLD",399.95,2.6,8,128,"No",FALSE
"184","SOLD",190.5,NA,NA,NA,"No",FALSE
"185","SOLD",153.5,2.5,NA,NA,"No",FALSE
"186","SOLD",345,2.6,4,128,"SSD",FALSE
"187","SOLD",503,NA,NA,NA,"SSD",FALSE
"188","SOLD",350,NA,NA,NA,"No",TRUE
"189","SOLD",340,2.6,4,128,"SSD",FALSE
"190","SOLD",474.99,3.2,8,120,"SSD",TRUE
"191","SOLD",355,2.6,6,160,"SSD",FALSE
"192","SOLD",279.95,2.5,4,NA,"No",FALSE
"193","SOLD",368.5,2.5,4,160,"No",TRUE
"194","SOLD",480,2.5,8,128,"SSD",TRUE
"195","SOLD",350,2.6,4,120,"SSD",FALSE
"196","SOLD",455,2.6,4,128,"No",FALSE
"197","SOLD",355,NA,3,320,"No",FALSE
"198","SOLD",260,2.6,NA,NA,"No",FALSE
"199","SOLD",335,2.6,8,180,"SSD",FALSE
"200","SOLD",405,2.6,8,128,"No",FALSE
"201","SOLD",299,2.6,8,128,"No",TRUE
"202","SOLD",485,NA,8,128,"SSD",TRUE
"203","SOLD",1,2.5,NA,NA,"No",TRUE
"204","SOLD",368.5,2.5,4,160,"No",TRUE
"205","SOLD",449.95,2.5,4,128,"SSD",TRUE
"206","SOLD",500,2.5,4,NA,"SSD",TRUE
"207","SOLD",300,2.5,8,119,"SSD",TRUE
"208","SOLD",599.95,NA,4,128,"SSD",TRUE
"209","SOLD",368.5,2.5,4,160,"No",TRUE
"210","SOLD",479.99,2.8,4,150,"No",TRUE
"211","SOLD",368.5,2.5,4,160,"No",TRUE
"212","SOLD",125.99,NA,NA,NA,"No",TRUE
"213","SOLD",241.5,2.6,8,320,"No",FALSE
"214","SOLD",469,2.5,8,128,"SSD",TRUE
"215","SOLD",300,2.5,4,320,"No",FALSE
"216","SOLD",480,NA,6,128,"SSD",TRUE
"217","SOLD",452,2.6,8,240,"SSD",FALSE
"218","SOLD",358,2.6,4,128,"No",FALSE
"219","SOLD",450,NA,4,128,"SSD",FALSE
"220","SOLD",299.95,2.5,4,320,"No",TRUE
